Frame_number,Image_name,left_eyelid_opening_valid,left_eyelid_opening_mm,right_eyelid_opening_valid,right_eyelid_opening_mm
474,frame_474,1,5.93806,1,5.253255
475,frame_475,1,5.862885,1,5.329707
476,frame_476,1,6.049795,1,5.295294
477,frame_477,1,6.0119,1,5.237218
478,frame_478,1,5.966865,1,5.214248
479,frame_479,1,6.030681,1,5.287854
480,frame_480,1,5.943957,1,5.290503
481,frame_481,1,5.86549,1,5.162877
482,frame_482,1,5.993857,1,5.160235
483,frame_483,1,5.915377,1,5.217134
484,frame_484,1,5.972159,1,5.162993
485,frame_485,1,5.924989,1,5.227298
486,frame_486,1,5.921673,1,5.307851
487,frame_487,1,6.195595,1,5.463075
488,frame_488,1,6.0616,1,5.433827
489,frame_489,1,6.092628,1,5.274104
490,frame_490,1,5.886907,1,5.153144
491,frame_491,1,5.956296,1,5.066129
492,frame_492,1,5.910268,1,6.748067
493,frame_493,1,5.906824,1,5.337446
494,frame_494,1,6.129812,1,5.233799
495,frame_495,1,5.864167,1,5.392382
496,frame_496,1,5.980137,1,5.24395
497,frame_497,1,6.065116,1,5.207809
498,frame_498,1,6.133034,1,4.961352
499,frame_499,1,6.163085,1,5.202029
500,frame_500,1,5.999997,1,5.158463
501,frame_501,1,5.875278,1,5.092711
502,frame_502,1,6.003069,1,5.162792
503,frame_503,1,5.837617,1,4.888758
504,frame_504,1,5.969641,1,5.130661
505,frame_505,1,5.971978,1,4.999903
506,frame_506,1,5.864608,1,5.259614
507,frame_507,1,5.999776,1,5.470851
508,frame_508,1,6.166631,1,5.115703
509,frame_509,1,5.951029,1,5.24244
510,frame_510,1,5.937158,1,5.023566
511,frame_511,1,6.064426,1,5.208772
512,frame_512,1,6.195829,1,5.041181
513,frame_513,1,6.031586,1,5.215264
514,frame_514,1,5.822554,1,5.051056
515,frame_515,1,6.045992,1,5.385479
516,frame_516,1,6.016039,1,5.200159
517,frame_517,1,6.158675,1,5.340177
518,frame_518,1,6.088336,1,5.174485
519,frame_519,1,6.092452,1,5.427233
520,frame_520,1,5.99223,1,5.067876
521,frame_521,1,5.87616,1,5.388477
522,frame_522,1,5.963663,1,5.312645
523,frame_523,1,5.819379,1,4.99036
524,frame_524,1,6.007238,1,5.026085
525,frame_525,1,5.878802,1,5.118832
526,frame_526,1,5.815709,1,5.228153
527,frame_527,1,6.150384,1,5.284871
528,frame_528,1,5.862792,1,5.090735
529,frame_529,1,6.008588,1,5.300219
530,frame_530,1,6.134401,1,4.945751
531,frame_531,1,6.134666,1,5.3895
532,frame_532,1,6.117085,1,4.787024
533,frame_533,1,4.492185,1,3.8978
534,frame_534,1,1.221162,1,0.99106
535,frame_535,1,1.984759,1,1.045278
536,frame_536,1,2.001312,1,0.751446
537,frame_537,1,4.192454,1,2.705017
538,frame_538,1,5.047061,1,3.67962
539,frame_539,1,5.651559,1,4.751721
540,frame_540,1,5.994672,1,5.047308
541,frame_541,1,6.359723,1,5.20299
542,frame_542,1,6.53553,1,4.912632
543,frame_543,1,6.564559,1,5.252919
544,frame_544,1,6.46254,1,5.494307
545,frame_545,1,6.70462,1,5.415643
546,frame_546,1,6.706482,1,5.559115
547,frame_547,1,6.557233,1,5.239762
548,frame_548,1,6.727625,1,5.129048
549,frame_549,1,6.707686,1,5.282253
550,frame_550,1,7.079675,1,5.243467
551,frame_551,1,6.96818,1,5.186456
552,frame_552,1,7.049185,1,5.282537
553,frame_553,1,6.884513,1,5.171364
554,frame_554,1,7.001407,1,5.132743
555,frame_555,1,6.951825,1,5.206817
556,frame_556,1,6.906775,1,5.197058
557,frame_557,1,6.757388,1,5.247258
558,frame_558,1,6.963914,1,5.165673
559,frame_559,1,6.819531,1,5.273469
560,frame_560,1,6.840057,1,5.187512
561,frame_561,1,6.649381,1,5.101414
562,frame_562,1,6.311198,1,5.082437
563,frame_563,1,6.454215,1,5.011852
564,frame_564,1,6.361332,1,5.031126
565,frame_565,1,6.361054,1,5.11791
566,frame_566,1,6.442725,1,5.179083
567,frame_567,1,6.511803,1,5.060443
568,frame_568,1,6.386838,1,5.081162
569,frame_569,1,6.211687,1,5.129062
570,frame_570,1,6.184041,1,5.159231
571,frame_571,1,6.189494,1,5.319637
572,frame_572,1,6.382894,1,5.125876
573,frame_573,1,6.231965,1,5.05441
574,frame_574,1,6.419378,1,4.968056
575,frame_575,1,6.285224,1,4.997973
576,frame_576,1,6.083552,1,4.894144
577,frame_577,1,6.425257,1,5.225285
578,frame_578,1,6.461334,1,5.293326
579,frame_579,1,6.439272,1,5.300873
580,frame_580,1,6.447942,1,4.942729
581,frame_581,1,6.372272,1,5.088534
582,frame_582,1,6.419673,1,5.424598
583,frame_583,1,6.11983,1,5.013871
584,frame_584,1,6.343375,1,5.028202
585,frame_585,1,6.293187,1,4.798972
586,frame_586,1,6.188028,1,5.40317
587,frame_587,1,6.3636,1,5.052835
588,frame_588,1,6.220628,1,4.943196
589,frame_589,1,6.336108,1,5.169499
590,frame_590,1,6.177616,1,5.469047
591,frame_591,1,6.415966,1,5.149214
592,frame_592,1,6.611693,1,5.137119
593,frame_593,1,6.354067,1,5.001284
594,frame_594,1,6.450121,1,5.021683
595,frame_595,1,6.355629,1,5.02505
596,frame_596,1,6.431168,1,5.024243
597,frame_597,1,6.396339,1,5.384549
598,frame_598,1,6.443059,1,5.552523
599,frame_599,1,6.402093,1,5.321278
600,frame_600,1,6.030231,1,5.21321
601,frame_601,1,6.296484,1,5.129431
602,frame_602,1,6.452328,1,5.3066
603,frame_603,1,6.044814,1,5.263404
604,frame_604,1,6.34353,1,5.090436
605,frame_605,1,6.425687,1,5.232052
606,frame_606,1,6.385564,1,4.957228
607,frame_607,1,6.4251,1,4.963102
608,frame_608,1,6.63188,1,5.411108
609,frame_609,1,6.501665,1,5.176702
610,frame_610,1,6.542123,1,5.272931
611,frame_611,1,6.349908,1,5.419574
612,frame_612,1,6.628773,1,5.359213
613,frame_613,1,6.500361,1,5.311785
614,frame_614,1,6.455095,1,5.534481
615,frame_615,1,6.509779,1,5.156775
616,frame_616,1,6.333381,1,5.369229
617,frame_617,1,6.368292,1,5.17215
618,frame_618,1,6.336081,1,5.086157
619,frame_619,1,6.483243,1,5.067934
620,frame_620,1,6.382583,1,5.4473
621,frame_621,1,6.233155,1,5.138524
622,frame_622,1,6.107881,1,5.533284
623,frame_623,1,6.173074,1,5.068316
624,frame_624,1,6.382493,1,5.265699
625,frame_625,1,6.406675,1,5.19823
626,frame_626,1,6.297941,1,5.537852
627,frame_627,1,6.185625,1,5.542465
628,frame_628,1,6.412994,1,5.433027
629,frame_629,1,6.368742,1,5.821735
630,frame_630,1,6.385703,1,5.013412
631,frame_631,1,6.280615,1,5.0856
632,frame_632,1,6.468975,1,5.006443
633,frame_633,1,6.470972,1,4.975124
634,frame_634,1,6.38293,1,5.25467
635,frame_635,1,6.299635,1,4.938238
636,frame_636,1,6.360474,1,4.977196
637,frame_637,1,6.288045,1,5.047126
638,frame_638,1,6.144962,1,4.983271
639,frame_639,1,6.127671,1,5.045469
640,frame_640,1,6.227542,1,5.252164
641,frame_641,1,6.152619,1,5.194479
642,frame_642,1,6.253046,1,5.476779
643,frame_643,1,6.370796,1,5.395404
644,frame_644,1,4.868098,1,4.21559
645,frame_645,1,2.172827,1,0.943621
646,frame_646,1,1.812123,1,0.918128
647,frame_647,1,2.25717,1,1.532001
648,frame_648,1,5.013455,1,3.507013
649,frame_649,1,6.623704,1,6.270476
650,frame_650,1,8.04492,1,7.800324
